Periodo,Sexo,Edad,Estado civil,Total
2025T1,Ambos sexos,Total,Total,"2.789,2"
2024T4,Ambos sexos,Total,Total,"2.595,5"
2024T3,Ambos sexos,Total,Total,"2.754,1"
2024T2,Ambos sexos,Total,Total,"2.755,3"
2024T1,Ambos sexos,Total,Total,"2.977,9"
2023T4,Ambos sexos,Total,Total,"2.860,8"
2023T3,Ambos sexos,Total,Total,"2.894,5"
2023T2,Ambos sexos,Total,Total,"2.808,2"
2023T1,Ambos sexos,Total,Total,"3.186,3"
2022T4,Ambos sexos,Total,Total,"3.081,6"
2022T3,Ambos sexos,Total,Total,"3.025,8"
2022T2,Ambos sexos,Total,Total,"2.994,7"
2022T1,Ambos sexos,Total,Total,"3.214,7"
2021T4,Ambos sexos,Total,Total,"3.148,7"
2021T3,Ambos sexos,Total,Total,"3.467,4"
2021T2,Ambos sexos,Total,Total,"3.586,4"
2021T1,Ambos sexos,Total,Total,"3.703,3"
2020T4,Ambos sexos,Total,Total,"3.719,8"
2020T3,Ambos sexos,Total,Total,"3.722,9"
2020T2,Ambos sexos,Total,Total,3.368
2020T1,Ambos sexos,Total,Total,3.313
2019T4,Ambos sexos,Total,Total,"3.191,9"
2019T3,Ambos sexos,Total,Total,"3.214,4"
2019T2,Ambos sexos,Total,Total,"3.230,6"
2019T1,Ambos sexos,Total,Total,"3.354,2"
2018T4,Ambos sexos,Total,Total,"3.304,3"
2018T3,Ambos sexos,Total,Total,3.326
2018T2,Ambos sexos,Total,Total,"3.490,1"
2018T1,Ambos sexos,Total,Total,"3.796,1"
2017T4,Ambos sexos,Total,Total,"3.766,7"
2017T3,Ambos sexos,Total,Total,"3.731,7"
2017T2,Ambos sexos,Total,Total,"3.914,3"
2017T1,Ambos sexos,Total,Total,4.255
2016T4,Ambos sexos,Total,Total,"4.237,8"
2016T3,Ambos sexos,Total,Total,"4.320,8"
2016T2,Ambos sexos,Total,Total,"4.574,7"
2016T1,Ambos sexos,Total,Total,"4.791,4"
2015T4,Ambos sexos,Total,Total,"4.779,5"
2015T3,Ambos sexos,Total,Total,"4.850,8"
2015T2,Ambos sexos,Total,Total,5.149
2015T1,Ambos sexos,Total,Total,"5.444,6"
2014T4,Ambos sexos,Total,Total,"5.457,7"
2014T3,Ambos sexos,Total,Total,"5.427,7"
2014T2,Ambos sexos,Total,Total,"5.622,9"
2014T1,Ambos sexos,Total,Total,"5.933,3"
2013T4,Ambos sexos,Total,Total,"5.935,6"
2013T3,Ambos sexos,Total,Total,"5.943,4"
2013T2,Ambos sexos,Total,Total,"6.047,3"
2013T1,Ambos sexos,Total,Total,"6.278,2"
2012T4,Ambos sexos,Total,Total,6.021
