Sexo;Edad;Estado civil;Periodo;Total
Ambos sexos;Total;Total;2025T1;2.789,2
Ambos sexos;Total;Total;2024T4;2.595,5
Ambos sexos;Total;Total;2024T3;2.754,1
Ambos sexos;Total;Total;2024T2;2.755,3
Ambos sexos;Total;Total;2024T1;2.977,9
Ambos sexos;Total;Total;2023T4;2.860,8
Ambos sexos;Total;Total;2023T3;2.894,5
Ambos sexos;Total;Total;2023T2;2.808,2
Ambos sexos;Total;Total;2023T1;3.186,3
Ambos sexos;Total;Total;2022T4;3.081,6
Ambos sexos;Total;Total;2022T3;3.025,8
Ambos sexos;Total;Total;2022T2;2.994,7
Ambos sexos;Total;Total;2022T1;3.214,7
Ambos sexos;Total;Total;2021T4;3.148,7
Ambos sexos;Total;Total;2021T3;3.467,4
Ambos sexos;Total;Total;2021T2;3.586,4
Ambos sexos;Total;Total;2021T1;3.703,3
Ambos sexos;Total;Total;2020T4;3.719,8
Ambos sexos;Total;Total;2020T3;3.722,9
Ambos sexos;Total;Total;2020T2;3.368
Ambos sexos;Total;Total;2020T1;3.313
Ambos sexos;Total;Total;2019T4;3.191,9
Ambos sexos;Total;Total;2019T3;3.214,4
Ambos sexos;Total;Total;2019T2;3.230,6
Ambos sexos;Total;Total;2019T1;3.354,2
Ambos sexos;Total;Total;2018T4;3.304,3
Ambos sexos;Total;Total;2018T3;3.326
Ambos sexos;Total;Total;2018T2;3.490,1
Ambos sexos;Total;Total;2018T1;3.796,1
Ambos sexos;Total;Total;2017T4;3.766,7
Ambos sexos;Total;Total;2017T3;3.731,7
Ambos sexos;Total;Total;2017T2;3.914,3
Ambos sexos;Total;Total;2017T1;4.255
Ambos sexos;Total;Total;2016T4;4.237,8
Ambos sexos;Total;Total;2016T3;4.320,8
Ambos sexos;Total;Total;2016T2;4.574,7
Ambos sexos;Total;Total;2016T1;4.791,4
Ambos sexos;Total;Total;2015T4;4.779,5
Ambos sexos;Total;Total;2015T3;4.850,8
Ambos sexos;Total;Total;2015T2;5.149
Ambos sexos;Total;Total;2015T1;5.444,6
Ambos sexos;Total;Total;2014T4;5.457,7
Ambos sexos;Total;Total;2014T3;5.427,7
Ambos sexos;Total;Total;2014T2;5.622,9
Ambos sexos;Total;Total;2014T1;5.933,3
Ambos sexos;Total;Total;2013T4;5.935,6
Ambos sexos;Total;Total;2013T3;5.943,4
Ambos sexos;Total;Total;2013T2;6.047,3
Ambos sexos;Total;Total;2013T1;6.278,2
Ambos sexos;Total;Total;2012T4;6.021
Ambos sexos;Total;Total;2012T3;5.824,2
Ambos sexos;Total;Total;2012T2;5.731
Ambos sexos;Total;Total;2012T1;5.667,9
Ambos sexos;Total;Total;2011T4;5.287,3
Ambos sexos;Total;Total;2011T3;4.998
Ambos sexos;Total;Total;2011T2;4.844,2
Ambos sexos;Total;Total;2011T1;4.921,2
Ambos sexos;Total;Total;2010T4;4.702,2
Ambos sexos;Total;Total;2010T3;4.585,4
Ambos sexos;Total;Total;2010T2;4.655,3
Ambos sexos;Total;Total;2010T1;4.617,7
Ambos sexos;Total;Total;2009T4;4.335
Ambos sexos;Total;Total;2009T3;4.121,4
Ambos sexos;Total;Total;2009T2;4.139,6
Ambos sexos;Total;Total;2009T1;4.018,2
Ambos sexos;Total;Total;2008T4;3.206,8
Ambos sexos;Total;Total;2008T3;2.600,7
Ambos sexos;Total;Total;2008T2;2.385,7
Ambos sexos;Total;Total;2008T1;2.190,5
Ambos sexos;Total;Total;2007T4;1.942
Ambos sexos;Total;Total;2007T3;1.806,2
Ambos sexos;Total;Total;2007T2;1.773,2
Ambos sexos;Total;Total;2007T1;1.863,2
Ambos sexos;Total;Total;2006T4;1.819,4
Ambos sexos;Total;Total;2006T3;1.766,9
Ambos sexos;Total;Total;2006T2;1.834,4
Ambos sexos;Total;Total;2006T1;1.942,8
Ambos sexos;Total;Total;2005T4;1.860,3
Ambos sexos;Total;Total;2005T3;1.783,5
Ambos sexos;Total;Total;2005T2;1.969,1
Ambos sexos;Total;Total;2005T1;2.121,3
Ambos sexos;Total;Total;2004T4;2.176,9
Ambos sexos;Total;Total;2004T3;2.199,8
Ambos sexos;Total;Total;2004T2;2.247,6
Ambos sexos;Total;Total;2004T1;2.309,8
Ambos sexos;Total;Total;2003T4;2.276,7
Ambos sexos;Total;Total;2003T3;2.247,5
Ambos sexos;Total;Total;2003T2;2.216
Ambos sexos;Total;Total;2003T1;2.328,5
Ambos sexos;Total;Total;2002T4;2.232,4
Ambos sexos;Total;Total;2002T3;2.196
Ambos sexos;Total;Total;2002T2;2.103,3
Ambos sexos;Total;Total;2002T1;2.152,8
Ambos sexos;Total;Solteros/Solteras;2025T1;1.497,8
Ambos sexos;Total;Solteros/Solteras;2024T4;1.400,9
Ambos sexos;Total;Solteros/Solteras;2024T3;1.555,2
Ambos sexos;Total;Solteros/Solteras;2024T2;1.496,8
Ambos sexos;Total;Solteros/Solteras;2024T1;1.583,5
Ambos sexos;Total;Solteros/Solteras;2023T4;1.563
Ambos sexos;Total;Solteros/Solteras;2023T3;1.587,1
Ambos sexos;Total;Solteros/Solteras;2023T2;1.544
Ambos sexos;Total;Solteros/Solteras;2023T1;1.724,1
Ambos sexos;Total;Solteros/Solteras;2022T4;1.651,2
Ambos sexos;Total;Solteros/Solteras;2022T3;1.655,5
Ambos sexos;Total;Solteros/Solteras;2022T2;1.572,3
Ambos sexos;Total;Solteros/Solteras;2022T1;1.682,1
Ambos sexos;Total;Solteros/Solteras;2021T4;1.639,7
Ambos sexos;Total;Solteros/Solteras;2021T3;1.865,2
Ambos sexos;Total;Solteros/Solteras;2021T2;1.968,3
Ambos sexos;Total;Solteros/Solteras;2021T1;2.011,3
Ambos sexos;Total;Solteros/Solteras;2020T4;1.975,6
Ambos sexos;Total;Solteros/Solteras;2020T3;2.064,8
Ambos sexos;Total;Solteros/Solteras;2020T2;1.799,4
Ambos sexos;Total;Solteros/Solteras;2020T1;1.717,7
Ambos sexos;Total;Solteros/Solteras;2019T4;1.610,4
Ambos sexos;Total;Solteros/Solteras;2019T3;1.673,6
Ambos sexos;Total;Solteros/Solteras;2019T2;1.636
Ambos sexos;Total;Solteros/Solteras;2019T1;1.703,9
Ambos sexos;Total;Solteros/Solteras;2018T4;1.682,1
Ambos sexos;Total;Solteros/Solteras;2018T3;1.731,4
Ambos sexos;Total;Solteros/Solteras;2018T2;1.724,5
Ambos sexos;Total;Solteros/Solteras;2018T1;1.850,9
Ambos sexos;Total;Solteros/Solteras;2017T4;1.854
Ambos sexos;Total;Solteros/Solteras;2017T3;1.866,5
Ambos sexos;Total;Solteros/Solteras;2017T2;1.921,3
Ambos sexos;Total;Solteros/Solteras;2017T1;2.067,2
Ambos sexos;Total;Solteros/Solteras;2016T4;2.069
Ambos sexos;Total;Solteros/Solteras;2016T3;2.119,9
Ambos sexos;Total;Solteros/Solteras;2016T2;2.228,9
Ambos sexos;Total;Solteros/Solteras;2016T1;2.289,9
