Sexo;Edad;Nivel de formación alcanzado;Periodo;Total
Ambos sexos;Total;Total;2025T1;2.789,2
Ambos sexos;Total;Total;2024T4;2.595,5
Ambos sexos;Total;Total;2024T3;2.754,1
Ambos sexos;Total;Total;2024T2;2.755,3
Ambos sexos;Total;Total;2024T1;2.977,9
Ambos sexos;Total;Total;2023T4;2.860,8
Ambos sexos;Total;Total;2023T3;2.894,5
Ambos sexos;Total;Total;2023T2;2.808,2
Ambos sexos;Total;Total;2023T1;3.186,3
Ambos sexos;Total;Total;2022T4;3.081,6
Ambos sexos;Total;Total;2022T3;3.025,8
Ambos sexos;Total;Total;2022T2;2.994,7
Ambos sexos;Total;Total;2022T1;3.214,7
Ambos sexos;Total;Total;2021T4;3.148,7
Ambos sexos;Total;Total;2021T3;3.467,4
Ambos sexos;Total;Total;2021T2;3.586,4
Ambos sexos;Total;Total;2021T1;3.703,3
Ambos sexos;Total;Total;2020T4;3.719,8
Ambos sexos;Total;Total;2020T3;3.722,9
Ambos sexos;Total;Total;2020T2;3.368
Ambos sexos;Total;Total;2020T1;3.313
Ambos sexos;Total;Total;2019T4;3.191,9
Ambos sexos;Total;Total;2019T3;3.214,4
Ambos sexos;Total;Total;2019T2;3.230,6
Ambos sexos;Total;Total;2019T1;3.354,2
Ambos sexos;Total;Total;2018T4;3.304,3
Ambos sexos;Total;Total;2018T3;3.326
Ambos sexos;Total;Total;2018T2;3.490,1
Ambos sexos;Total;Total;2018T1;3.796,1
Ambos sexos;Total;Total;2017T4;3.766,7
Ambos sexos;Total;Total;2017T3;3.731,7
Ambos sexos;Total;Total;2017T2;3.914,3
Ambos sexos;Total;Total;2017T1;4.255
Ambos sexos;Total;Total;2016T4;4.237,8
Ambos sexos;Total;Total;2016T3;4.320,8
Ambos sexos;Total;Total;2016T2;4.574,7
Ambos sexos;Total;Total;2016T1;4.791,4
Ambos sexos;Total;Total;2015T4;4.779,5
Ambos sexos;Total;Total;2015T3;4.850,8
Ambos sexos;Total;Total;2015T2;5.149
Ambos sexos;Total;Total;2015T1;5.444,6
Ambos sexos;Total;Total;2014T4;5.457,7
Ambos sexos;Total;Total;2014T3;5.427,7
Ambos sexos;Total;Total;2014T2;5.622,9
Ambos sexos;Total;Total;2014T1;5.933,3
Ambos sexos;Total;Analfabetos;2025T1;25,7
Ambos sexos;Total;Analfabetos;2024T4;24
Ambos sexos;Total;Analfabetos;2024T3;23,3
Ambos sexos;Total;Analfabetos;2024T2;20
Ambos sexos;Total;Analfabetos;2024T1;26,3
Ambos sexos;Total;Analfabetos;2023T4;22,7
Ambos sexos;Total;Analfabetos;2023T3;22,6
Ambos sexos;Total;Analfabetos;2023T2;24,8
Ambos sexos;Total;Analfabetos;2023T1;31,3
Ambos sexos;Total;Analfabetos;2022T4;31,6
Ambos sexos;Total;Analfabetos;2022T3;35,3
Ambos sexos;Total;Analfabetos;2022T2;28,9
Ambos sexos;Total;Analfabetos;2022T1;33,5
Ambos sexos;Total;Analfabetos;2021T4;25,1
Ambos sexos;Total;Analfabetos;2021T3;37,8
Ambos sexos;Total;Analfabetos;2021T2;22,7
Ambos sexos;Total;Analfabetos;2021T1;22,4
Ambos sexos;Total;Analfabetos;2020T4;25,6
Ambos sexos;Total;Analfabetos;2020T3;28,5
Ambos sexos;Total;Analfabetos;2020T2;22,7
Ambos sexos;Total;Analfabetos;2020T1;27,6
Ambos sexos;Total;Analfabetos;2019T4;24,3
Ambos sexos;Total;Analfabetos;2019T3;22
Ambos sexos;Total;Analfabetos;2019T2;23,5
Ambos sexos;Total;Analfabetos;2019T1;22,3
Ambos sexos;Total;Analfabetos;2018T4;27
Ambos sexos;Total;Analfabetos;2018T3;28
Ambos sexos;Total;Analfabetos;2018T2;25,9
Ambos sexos;Total;Analfabetos;2018T1;26,7
Ambos sexos;Total;Analfabetos;2017T4;28,3
Ambos sexos;Total;Analfabetos;2017T3;34,2
Ambos sexos;Total;Analfabetos;2017T2;29
Ambos sexos;Total;Analfabetos;2017T1;31,1
Ambos sexos;Total;Analfabetos;2016T4;31,1
Ambos sexos;Total;Analfabetos;2016T3;33,2
Ambos sexos;Total;Analfabetos;2016T2;32
Ambos sexos;Total;Analfabetos;2016T1;34
Ambos sexos;Total;Analfabetos;2015T4;36
Ambos sexos;Total;Analfabetos;2015T3;39,5
Ambos sexos;Total;Analfabetos;2015T2;42,6
Ambos sexos;Total;Analfabetos;2015T1;47
Ambos sexos;Total;Analfabetos;2014T4;47,5
Ambos sexos;Total;Analfabetos;2014T3;46,7
Ambos sexos;Total;Analfabetos;2014T2;46
Ambos sexos;Total;Analfabetos;2014T1;49,5
Ambos sexos;Total;Estudios primarios incompletos;2025T1;52,8
Ambos sexos;Total;Estudios primarios incompletos;2024T4;56,4
Ambos sexos;Total;Estudios primarios incompletos;2024T3;44,9
Ambos sexos;Total;Estudios primarios incompletos;2024T2;61,9
Ambos sexos;Total;Estudios primarios incompletos;2024T1;63,8
Ambos sexos;Total;Estudios primarios incompletos;2023T4;48,2
Ambos sexos;Total;Estudios primarios incompletos;2023T3;51,6
Ambos sexos;Total;Estudios primarios incompletos;2023T2;55,6
Ambos sexos;Total;Estudios primarios incompletos;2023T1;50,3
Ambos sexos;Total;Estudios primarios incompletos;2022T4;47,3
Ambos sexos;Total;Estudios primarios incompletos;2022T3;49,8
Ambos sexos;Total;Estudios primarios incompletos;2022T2;63,5
Ambos sexos;Total;Estudios primarios incompletos;2022T1;63,7
Ambos sexos;Total;Estudios primarios incompletos;2021T4;55,4
Ambos sexos;Total;Estudios primarios incompletos;2021T3;66,3
Ambos sexos;Total;Estudios primarios incompletos;2021T2;58,2
Ambos sexos;Total;Estudios primarios incompletos;2021T1;69,7
Ambos sexos;Total;Estudios primarios incompletos;2020T4;57,7
Ambos sexos;Total;Estudios primarios incompletos;2020T3;76
Ambos sexos;Total;Estudios primarios incompletos;2020T2;57,3
Ambos sexos;Total;Estudios primarios incompletos;2020T1;58,5
Ambos sexos;Total;Estudios primarios incompletos;2019T4;65,2
Ambos sexos;Total;Estudios primarios incompletos;2019T3;73,7
Ambos sexos;Total;Estudios primarios incompletos;2019T2;78,9
Ambos sexos;Total;Estudios primarios incompletos;2019T1;71,9
Ambos sexos;Total;Estudios primarios incompletos;2018T4;87,7
Ambos sexos;Total;Estudios primarios incompletos;2018T3;89,5
Ambos sexos;Total;Estudios primarios incompletos;2018T2;92
Ambos sexos;Total;Estudios primarios incompletos;2018T1;111,5
Ambos sexos;Total;Estudios primarios incompletos;2017T4;94,8
Ambos sexos;Total;Estudios primarios incompletos;2017T3;94,9
Ambos sexos;Total;Estudios primarios incompletos;2017T2;92,6
Ambos sexos;Total;Estudios primarios incompletos;2017T1;107,5
Ambos sexos;Total;Estudios primarios incompletos;2016T4;109,7
Ambos sexos;Total;Estudios primarios incompletos;2016T3;114,9
Ambos sexos;Total;Estudios primarios incompletos;2016T2;121,5
